Whiskey Smash,$,Oz,Apple Jack (Whiskey),$,Oz,On Par Tee ,$,Oz,Bacardi Sunset,$,Oz
12 gallons,,,12 gallons,,,12 gallons,,,10.77 gallons,,
Jim Beam = 7 bottles (1.75L),230,414,Jack Daniels Fire =4 bottles (1.75L),188,236,Crown Royal= 7 bottles (1.75L),414,414,Bacardi Superior = 6 bottles (1.75L),146.64,355.05
Lemonade = 2.5 gallons,7.23,320,Apple Schnapps = 8 bottles (1 L) ,29.64,270,Peach Schnapps= 8 bottles,96.25,270,Strawberry Lemonade = 8 gallons,37.78,1024
Simple Syrup = 1 gallon,11.52,128,Vanilla = 2 bottles (25 oz each),26.24,50,Sour Mix= 2 gallons,15.36,256,,,
Mint= 2 bottles 25 oz,7.34,25,Lemonade= 5.5 gallons,15.9,704,Lemonade= 2.5 gallons,7.23,320,,,
Water= 4.5 gallons,,576,Water= 2 gallons,,256,Water= 1.5 gallons,,192,,,
,,,,,,,,,,,
,,,,,,,,,,,
Total price,$256.09,,Total price,$243.88,,Total price,$532.84,,Total price,$184.42,
Total oz,"1,463",,Total oz,"1,516",,Total oz,"1,452",,Total oz,"1,379.05",
Total price per oz ,$0.18,,Total price per oz ,$0.16,,Total price per oz ,$0.37,,Total price per oz ,$0.13,
Price we're charging ,$1.99,,Price we're charging ,$1.49,,Price we're charging ,$1.99,,Price we're charging ,$1.99,
Profit per oz,$1.81,,Profit per oz,$1.33,,Profit per oz,$1.62,,Profit per oz,$1.86,
Profit margin,91.20,,Profit margin,89.30,,Profit margin,81.56,,Profit margin,93.28,
Cost for 1.5 oz of liquor ,$10.55,,Cost for 1.5 oz of liquor ,$14.49,,Cost for 1.5 oz of liquor ,$10.47,,Cost for 1.5 oz of liquor ,$11.60,
How many oz per shot,5.30,,How many oz per shot,9.72,,How many oz per shot,5.26,,How many oz per shot,5.83,
